card_id,disp_id,type,year,month,day,fulldate,date,event_timestamp
V00000504,D00003230,VISA Standard,2015,11,6,2015-11-06,2015-11-06,2022-07-16 01:04:48.810305
V00000261,D00001629,VISA Infinite,2015,11,9,2015-11-09,2015-11-09,2022-07-17 02:07:58.810305
V00000296,D00001876,VISA Infinite,2015,11,13,2015-11-13,2015-11-13,2022-07-18 07:45:00.810305
V00000113,D00000629,VISA Standard,2015,11,16,2015-11-16,2015-11-16,2022-07-24 23:58:52.810305
V00000092,D00000508,VISA Signature,2015,11,20,2015-11-20,2015-11-20,2022-07-22 13:23:52.810305
V00001225,D00013268,VISA Signature,2015,11,22,2015-11-22,2015-11-22,2022-07-23 16:59:29.810305
V00000393,D00002498,VISA Standard,2015,12,3,2015-12-03,2015-12-03,2022-07-18 07:32:25.810305
V00000695,D00004507,VISA Signature,2015,12,15,2015-12-15,2015-12-15,2022-07-17 08:09:07.810305
V00000666,D00004328,VISA Standard,2015,12,25,2015-12-25,2015-12-25,2022-07-19 17:41:25.810305
V00000462,D00002978,VISA Signature,2015,12,30,2015-12-30,2015-12-30,2022-07-25 14:27:34.810305
V00000085,D00000489,VISA Signature,2015,12,31,2015-12-31,2015-12-31,2022-07-25 22:19:34.810305
V00000337,D00002141,VISA Signature,2016,1,1,2016-01-01,2016-01-01,2022-07-19 22:54:16.810305
V00000771,D00005233,VISA Signature,2016,1,8,2016-01-08,2016-01-08,2022-07-24 00:57:31.810305
V00000379,D00002431,VISA Signature,2016,1,12,2016-01-12,2016-01-12,2022-07-17 00:52:32.810305
V00000106,D00000592,VISA Signature,2016,1,14,2016-01-14,2016-01-14,2022-07-15 09:15:01.810305
V00000606,D00003883,VISA Signature,2016,1,22,2016-01-22,2016-01-22,2022-07-22 17:02:06.810305
V00000427,D00002688,VISA Infinite,2016,1,25,2016-01-25,2016-01-25,2022-07-22 11:34:38.810305
V00000202,D00001228,VISA Signature,2016,2,4,2016-02-04,2016-02-04,2022-07-16 04:40:04.810305
V00000814,D00005911,VISA Signature,2016,2,15,2016-02-15,2016-02-15,2022-07-20 19:03:07.810305
V00001064,D00010328,VISA Signature,2016,2,17,2016-02-17,2016-02-17,2022-07-25 17:17:51.810305
V00000014,D00000112,VISA Signature,2016,2,17,2016-02-17,2016-02-17,2022-07-20 02:37:21.810305
V00000423,D00002657,VISA Signature,2016,2,19,2016-02-19,2016-02-19,2022-07-22 10:33:01.810305
V00000989,D00009119,VISA Signature,2016,2,21,2016-02-21,2016-02-21,2022-07-24 10:12:10.810305
V00000364,D00002329,VISA Signature,2016,2,29,2016-02-29,2016-02-29,2022-07-24 02:18:58.810305
V00000267,D00001691,VISA Standard,2016,3,9,2016-03-09,2016-03-09,2022-07-20 10:50:29.810305
V00000621,D00003970,VISA Standard,2016,3,19,2016-03-19,2016-03-19,2022-07-22 15:30:50.810305
V00001139,D00011836,VISA Standard,2016,3,26,2016-03-26,2016-03-26,2022-07-19 06:38:51.810305
V00000725,D00004715,VISA Standard,2016,3,30,2016-03-30,2016-03-30,2022-07-19 22:56:40.810305
V00000150,D00000859,VISA Signature,2016,3,30,2016-03-30,2016-03-30,2022-07-15 03:27:34.810305
V00000302,D00001900,VISA Signature,2016,3,31,2016-03-31,2016-03-31,2022-07-24 00:59:31.810305
V00000372,D00002395,VISA Signature,2016,3,31,2016-03-31,2016-03-31,2022-07-24 12:47:33.810305
V00000499,D00003187,VISA Signature,2016,4,3,2016-04-03,2016-04-03,2022-07-20 05:30:20.810305
V00000229,D00001384,VISA Signature,2016,4,5,2016-04-05,2016-04-05,2022-07-23 12:06:45.810305
V00000289,D00001831,VISA Standard,2016,4,8,2016-04-08,2016-04-08,2022-07-23 13:35:28.810305
V00001100,D00011101,VISA Standard,2016,4,10,2016-04-10,2016-04-10,2022-07-25 23:42:16.810305
V00000037,D00000238,VISA Signature,2016,4,20,2016-04-20,2016-04-20,2022-07-22 03:22:31.810305
V00000286,D00001812,VISA Infinite,2016,4,21,2016-04-21,2016-04-21,2022-07-17 16:19:11.810305
V00000157,D00000907,VISA Signature,2016,4,24,2016-04-24,2016-04-24,2022-07-20 07:41:24.810305
V00000216,D00001310,VISA Standard,2016,4,24,2016-04-24,2016-04-24,2022-07-23 23:21:14.810305
V00000977,D00008968,VISA Signature,2016,5,8,2016-05-08,2016-05-08,2022-07-17 07:24:18.810305
V00000183,D00001080,VISA Signature,2016,5,8,2016-05-08,2016-05-08,2022-07-22 22:31:28.810305
V00000945,D00008342,VISA Standard,2016,5,9,2016-05-09,2016-05-09,2022-07-22 13:49:42.810305
V00000044,D00000268,VISA Standard,2016,5,17,2016-05-17,2016-05-17,2022-07-20 08:17:13.810305
V00000600,D00003829,VISA Signature,2016,5,20,2016-05-20,2016-05-20,2022-07-21 10:41:02.810305
V00000127,D00000714,VISA Signature,2016,5,23,2016-05-23,2016-05-23,2022-07-20 02:39:53.810305
V00000764,D00005159,VISA Signature,2016,5,29,2016-05-29,2016-05-29,2022-07-20 22:11:30.810305
V00000204,D00001239,VISA Standard,2016,5,30,2016-05-30,2016-05-30,2022-07-18 14:19:08.810305
V00001134,D00011742,VISA Signature,2016,5,31,2016-05-31,2016-05-31,2022-07-15 16:08:13.810305
V00000312,D00001971,VISA Signature,2016,6,8,2016-06-08,2016-06-08,2022-07-22 19:44:36.810305
V00000313,D00001980,VISA Signature,2016,6,17,2016-06-17,2016-06-17,2022-07-23 11:00:30.810305
V00000641,D00004116,VISA Signature,2016,6,18,2016-06-18,2016-06-18,2022-07-16 16:10:55.810305
V00000731,D00004751,VISA Signature,2016,6,23,2016-06-23,2016-06-23,2022-07-25 17:29:24.810305
V00000084,D00000487,VISA Signature,2016,6,26,2016-06-26,2016-06-26,2022-07-17 22:25:33.810305
V00000265,D00001680,VISA Signature,2016,6,28,2016-06-28,2016-06-28,2022-07-25 14:09:30.810305
V00001176,D00012502,VISA Infinite,2016,7,3,2016-07-03,2016-07-03,2022-07-15 23:06:14.810305
V00001233,D00013382,VISA Signature,2016,7,6,2016-07-06,2016-07-06,2022-07-15 10:37:56.810305
V00000407,D00002555,VISA Signature,2016,7,11,2016-07-11,2016-07-11,2022-07-23 22:13:57.810305
V00000320,D00002045,VISA Signature,2016,7,11,2016-07-11,2016-07-11,2022-07-22 05:22:38.810305
V00001187,D00012635,VISA Infinite,2016,7,17,2016-07-17,2016-07-17,2022-07-21 04:20:36.810305
V00000121,D00000666,VISA Standard,2016,7,22,2016-07-22,2016-07-22,2022-07-23 18:26:00.810305
V00001055,D00010171,VISA Signature,2016,7,24,2016-07-24,2016-07-24,2022-07-16 12:29:32.810305
V00000303,D00001912,VISA Signature,2016,8,1,2016-08-01,2016-08-01,2022-07-21 01:18:22.810305
V00000651,D00004201,VISA Standard,2016,8,2,2016-08-02,2016-08-02,2022-07-15 16:38:10.810305
V00000736,D00004789,VISA Signature,2016,8,3,2016-08-03,2016-08-03,2022-07-21 02:01:46.810305
V00000024,D00000153,VISA Standard,2016,8,5,2016-08-05,2016-08-05,2022-07-16 23:05:51.810305
V00000587,D00003763,VISA Standard,2016,8,5,2016-08-05,2016-08-05,2022-07-25 07:53:25.810305
V00000119,D00000655,VISA Signature,2016,8,8,2016-08-08,2016-08-08,2022-07-19 02:46:46.810305
V00000670,D00004343,VISA Signature,2016,8,8,2016-08-08,2016-08-08,2022-07-15 02:32:44.810305
V00000227,D00001380,VISA Signature,2016,8,10,2016-08-10,2016-08-10,2022-07-23 00:21:25.810305
V00001164,D00012269,VISA Signature,2016,8,12,2016-08-12,2016-08-12,2022-07-19 04:40:27.810305
V00001043,D00009974,VISA Standard,2016,8,14,2016-08-14,2016-08-14,2022-07-17 06:41:32.810305
V00000278,D00001779,VISA Signature,2016,8,15,2016-08-15,2016-08-15,2022-07-23 11:07:21.810305
V00000103,D00000584,VISA Standard,2016,8,17,2016-08-17,2016-08-17,2022-07-22 19:47:58.810305
V00000673,D00004353,VISA Standard,2016,8,31,2016-08-31,2016-08-31,2022-07-21 19:45:03.810305
V00000038,D00000242,VISA Signature,2016,8,31,2016-08-31,2016-08-31,2022-07-21 05:45:10.810305
V00000470,D00003036,VISA Signature,2016,9,2,2016-09-02,2016-09-02,2022-07-24 07:21:11.810305
V00000890,D00007422,VISA Signature,2016,9,8,2016-09-08,2016-09-08,2022-07-25 19:29:07.810305
V00000514,D00003267,VISA Signature,2016,9,10,2016-09-10,2016-09-10,2022-07-16 14:53:54.810305
V00000741,D00004832,VISA Signature,2016,9,11,2016-09-11,2016-09-11,2022-07-23 07:21:45.810305
V00000882,D00007195,VISA Signature,2016,9,11,2016-09-11,2016-09-11,2022-07-21 06:11:16.810305
V00000012,D00000083,VISA Standard,2016,9,11,2016-09-11,2016-09-11,2022-07-23 09:43:45.810305
V00000152,D00000876,VISA Signature,2016,9,16,2016-09-16,2016-09-16,2022-07-24 02:59:44.810305
V00000163,D00000984,VISA Signature,2016,9,18,2016-09-18,2016-09-18,2022-07-18 18:16:21.810305
V00000708,D00004568,VISA Standard,2016,9,24,2016-09-24,2016-09-24,2022-07-17 07:55:56.810305
V00001087,D00010887,VISA Signature,2016,10,6,2016-10-06,2016-10-06,2022-07-15 11:28:01.810305
V00000854,D00006753,VISA Signature,2016,10,7,2016-10-07,2016-10-07,2022-07-15 03:12:43.810305
V00000601,D00003830,VISA Signature,2016,10,8,2016-10-08,2016-10-08,2022-07-21 14:37:34.810305
V00000099,D00000548,VISA Infinite,2016,10,9,2016-10-09,2016-10-09,2022-07-17 03:14:07.810305
V00000547,D00003477,VISA Signature,2016,10,11,2016-10-11,2016-10-11,2022-07-25 13:24:39.810305
V00000040,D00000255,VISA Signature,2016,10,13,2016-10-13,2016-10-13,2022-07-15 01:38:56.810305
V00000220,D00001333,VISA Signature,2016,10,13,2016-10-13,2016-10-13,2022-07-23 21:30:48.810305
V00000390,D00002490,VISA Signature,2016,10,14,2016-10-14,2016-10-14,2022-07-21 11:20:07.810305
V00000776,D00005263,VISA Signature,2016,10,19,2016-10-19,2016-10-19,2022-07-20 05:29:25.810305
V00000197,D00001202,VISA Standard,2016,10,21,2016-10-21,2016-10-21,2022-07-21 18:09:16.810305
V00000516,D00003279,VISA Signature,2016,10,25,2016-10-25,2016-10-25,2022-07-17 21:11:55.810305
V00000381,D00002440,VISA Signature,2016,10,27,2016-10-27,2016-10-27,2022-07-18 19:54:16.810305
V00001010,D00009413,VISA Signature,2016,10,27,2016-10-27,2016-10-27,2022-07-25 03:27:44.810305
V00000813,D00005873,VISA Standard,2016,10,28,2016-10-28,2016-10-28,2022-07-19 05:22:04.810305
V00000272,D00001754,VISA Standard,2016,10,28,2016-10-28,2016-10-28,2022-07-16 07:38:42.810305
V00000772,D00005243,VISA Signature,2016,10,30,2016-10-30,2016-10-30,2022-07-21 02:04:26.810305
V00000528,D00003356,VISA Signature,2016,10,31,2016-10-31,2016-10-31,2022-07-16 16:30:12.810305
V00001014,D00009452,VISA Signature,2016,11,2,2016-11-02,2016-11-02,2022-07-20 08:52:16.810305
V00000087,D00000493,VISA Signature,2016,11,2,2016-11-02,2016-11-02,2022-07-24 06:57:32.810305
V00000088,D00000496,VISA Signature,2016,11,4,2016-11-04,2016-11-04,2022-07-17 20:28:34.810305
V00000441,D00002785,VISA Signature,2016,11,5,2016-11-05,2016-11-05,2022-07-25 07:01:48.810305
V00000562,D00003583,VISA Signature,2016,11,7,2016-11-07,2016-11-07,2022-07-21 20:51:24.810305
V00000690,D00004479,VISA Signature,2016,11,7,2016-11-07,2016-11-07,2022-07-25 19:59:54.810305
V00000374,D00002423,VISA Signature,2016,11,8,2016-11-08,2016-11-08,2022-07-20 16:41:03.810305
V00000057,D00000347,VISA Signature,2016,11,9,2016-11-09,2016-11-09,2022-07-17 18:02:11.810305
V00000722,D00004684,VISA Signature,2016,11,14,2016-11-14,2016-11-14,2022-07-19 12:50:34.810305
V00000300,D00001890,VISA Signature,2016,11,20,2016-11-20,2016-11-20,2022-07-19 22:06:49.810305
V00000117,D00000649,VISA Standard,2016,11,23,2016-11-23,2016-11-23,2022-07-17 14:36:24.810305
V00000541,D00003427,VISA Standard,2016,11,26,2016-11-26,2016-11-26,2022-07-16 23:19:51.810305
V00000294,D00001861,VISA Signature,2016,12,4,2016-12-04,2016-12-04,2022-07-25 02:28:08.810305
V00000010,D00000077,VISA Signature,2016,12,7,2016-12-07,2016-12-07,2022-07-25 16:30:10.810305
V00000710,D00004588,VISA Standard,2016,12,10,2016-12-10,2016-12-10,2022-07-18 23:56:52.810305
V00000408,D00002560,VISA Signature,2016,12,10,2016-12-10,2016-12-10,2022-07-15 12:50:18.810305
V00000363,D00002324,VISA Standard,2016,12,11,2016-12-11,2016-12-11,2022-07-15 11:22:38.810305
V00000697,D00004518,VISA Signature,2016,12,11,2016-12-11,2016-12-11,2022-07-21 06:03:01.810305
V00000433,D00002724,VISA Signature,2016,12,12,2016-12-12,2016-12-12,2022-07-23 13:55:08.810305
V00000642,D00004137,VISA Signature,2016,12,13,2016-12-13,2016-12-13,2022-07-17 00:36:49.810305
V00000243,D00001478,VISA Signature,2016,12,13,2016-12-13,2016-12-13,2022-07-19 14:14:47.810305
V00000162,D00000967,VISA Standard,2016,12,23,2016-12-23,2016-12-23,2022-07-24 04:05:02.810305
V00000594,D00003794,VISA Standard,2016,12,27,2016-12-27,2016-12-27,2022-07-22 01:33:16.810305
V00000609,D00003893,VISA Signature,2016,12,29,2016-12-29,2016-12-29,2022-07-19 20:00:54.810305
V00001111,D00011288,VISA Signature,2016,12,31,2016-12-31,2016-12-31,2022-07-18 02:21:43.810305
V00000786,D00005478,VISA Signature,2016,12,31,2016-12-31,2016-12-31,2022-07-17 17:00:36.810305
V00001118,D00011393,VISA Signature,2017,1,2,2017-01-02,2017-01-02,2022-07-22 21:08:03.810305
V00000175,D00001040,VISA Signature,2017,1,3,2017-01-03,2017-01-03,2022-07-24 05:05:22.810305
V00000565,D00003601,VISA Infinite,2017,1,6,2017-01-06,2017-01-06,2022-07-18 22:37:50.810305
V00000714,D00004638,VISA Signature,2017,1,9,2017-01-09,2017-01-09,2022-07-22 23:19:41.810305
V00000137,D00000786,VISA Standard,2017,1,10,2017-01-10,2017-01-10,2022-07-18 20:19:32.810305
V00000022,D00000138,VISA Signature,2017,1,11,2017-01-11,2017-01-11,2022-07-20 17:33:28.810305
V00000325,D00002102,VISA Signature,2017,1,12,2017-01-12,2017-01-12,2022-07-21 08:22:15.810305
V00000194,D00001182,VISA Signature,2017,1,13,2017-01-13,2017-01-13,2022-07-19 10:04:44.810305
V00000668,D00004340,VISA Signature,2017,1,14,2017-01-14,2017-01-14,2022-07-15 13:20:16.810305
V00000706,D00004559,VISA Infinite,2017,1,16,2017-01-16,2017-01-16,2022-07-15 13:50:27.810305
V00000850,D00006644,VISA Signature,2017,1,16,2017-01-16,2017-01-16,2022-07-20 02:53:02.810305
V00000298,D00001885,VISA Signature,2017,1,17,2017-01-17,2017-01-17,2022-07-16 01:21:49.810305
V00000105,D00000590,VISA Signature,2017,1,17,2017-01-17,2017-01-17,2022-07-21 16:58:15.810305
V00001036,D00009735,VISA Signature,2017,1,17,2017-01-17,2017-01-17,2022-07-25 16:19:08.810305
V00000292,D00001842,VISA Infinite,2017,1,18,2017-01-18,2017-01-18,2022-07-20 21:47:05.810305
V00000112,D00000626,VISA Standard,2017,1,19,2017-01-19,2017-01-19,2022-07-22 06:49:46.810305
V00000678,D00004405,VISA Infinite,2017,1,20,2017-01-20,2017-01-20,2022-07-20 08:12:45.810305
V00001093,D00011011,VISA Signature,2017,1,20,2017-01-20,2017-01-20,2022-07-23 17:22:00.810305
V00000681,D00004426,VISA Signature,2017,1,22,2017-01-22,2017-01-22,2022-07-24 03:14:45.810305
V00000582,D00003733,VISA Signature,2017,1,22,2017-01-22,2017-01-22,2022-07-17 15:53:44.810305
V00000729,D00004740,VISA Standard,2017,1,22,2017-01-22,2017-01-22,2022-07-17 00:47:39.810305
V00000054,D00000334,VISA Signature,2017,1,24,2017-01-24,2017-01-24,2022-07-24 14:59:09.810305
V00000258,D00001607,VISA Signature,2017,1,26,2017-01-26,2017-01-26,2022-07-15 10:43:30.810305
V00000534,D00003387,VISA Signature,2017,1,29,2017-01-29,2017-01-29,2022-07-19 13:24:08.810305
V00000667,D00004333,VISA Signature,2017,1,31,2017-01-31,2017-01-31,2022-07-18 07:42:39.810305
V00000195,D00001194,VISA Signature,2017,2,3,2017-02-03,2017-02-03,2022-07-21 21:46:56.810305
V00000199,D00001213,VISA Signature,2017,2,7,2017-02-07,2017-02-07,2022-07-18 02:06:52.810305
V00000490,D00003136,VISA Infinite,2017,2,7,2017-02-07,2017-02-07,2022-07-20 03:23:35.810305
V00000347,D00002184,VISA Signature,2017,2,11,2017-02-11,2017-02-11,2022-07-23 01:41:00.810305
V00000210,D00001253,VISA Signature,2017,2,16,2017-02-16,2017-02-16,2022-07-19 17:36:16.810305
V00000293,D00001850,VISA Signature,2017,2,17,2017-02-17,2017-02-17,2022-07-25 19:02:14.810305
V00000189,D00001157,VISA Signature,2017,2,19,2017-02-19,2017-02-19,2022-07-23 03:05:19.810305
V00000324,D00002074,VISA Signature,2017,2,19,2017-02-19,2017-02-19,2022-07-15 18:42:56.810305
V00000578,D00003689,VISA Standard,2017,2,21,2017-02-21,2017-02-21,2022-07-20 00:07:50.810305
V00000266,D00001690,VISA Signature,2017,3,4,2017-03-04,2017-03-04,2022-07-15 15:03:22.810305
V00000568,D00003615,VISA Signature,2017,3,5,2017-03-05,2017-03-05,2022-07-16 12:26:13.810305
V00000171,D00001027,VISA Signature,2017,3,5,2017-03-05,2017-03-05,2022-07-18 13:29:10.810305
V00000679,D00004416,VISA Signature,2017,3,6,2017-03-06,2017-03-06,2022-07-18 21:40:02.810305
V00000841,D00006468,VISA Signature,2017,3,6,2017-03-06,2017-03-06,2022-07-21 13:32:29.810305
V00000513,D00003260,VISA Signature,2017,3,15,2017-03-15,2017-03-15,2022-07-24 16:59:02.810305
V00000647,D00004171,VISA Standard,2017,3,21,2017-03-21,2017-03-21,2022-07-16 15:51:52.810305
V00000665,D00004318,VISA Signature,2017,3,24,2017-03-24,2017-03-24,2022-07-17 23:33:30.810305
V00000400,D00002529,VISA Signature,2017,4,6,2017-04-06,2017-04-06,2022-07-23 06:15:16.810305
V00000617,D00003944,VISA Infinite,2017,4,9,2017-04-09,2017-04-09,2022-07-25 13:04:18.810305
V00000709,D00004587,VISA Standard,2017,4,11,2017-04-11,2017-04-11,2022-07-23 11:41:37.810305
V00000387,D00002481,VISA Signature,2017,4,18,2017-04-18,2017-04-18,2022-07-24 07:09:36.810305
V00000226,D00001378,VISA Signature,2017,4,18,2017-04-18,2017-04-18,2022-07-22 11:29:32.810305
V00000350,D00002226,VISA Signature,2017,4,20,2017-04-20,2017-04-20,2022-07-22 14:05:03.810305
V00000539,D00003415,VISA Signature,2017,4,23,2017-04-23,2017-04-23,2022-07-17 08:51:44.810305
V00000583,D00003735,VISA Signature,2017,4,24,2017-04-24,2017-04-24,2022-07-18 12:02:01.810305
V00000576,D00003671,VISA Signature,2017,4,30,2017-04-30,2017-04-30,2022-07-19 01:09:14.810305
V00000232,D00001396,VISA Signature,2017,5,1,2017-05-01,2017-05-01,2022-07-20 08:48:11.810305
V00000730,D00004749,VISA Signature,2017,5,2,2017-05-02,2017-05-02,2022-07-17 03:28:46.810305
V00000616,D00003943,VISA Signature,2017,5,5,2017-05-05,2017-05-05,2022-07-24 12:05:50.810305
V00000564,D00003590,VISA Signature,2017,5,6,2017-05-06,2017-05-06,2022-07-19 14:13:47.810305
V00000082,D00000474,VISA Signature,2017,5,7,2017-05-07,2017-05-07,2022-07-24 15:08:18.810305
