order_id,account_id,bank_to,account_to,amount,k_symbol,event_timestamp
29528,A00000081,QR,18026441,1765.0,Household Payment,2022-07-17 23:02:41.507116
29529,A00000081,MN,28429049,62.0,,2022-07-24 16:22:02.507116
29530,A00000081,GH,62443947,229.0,Insurance Payment,2022-07-24 10:38:34.507116
29531,A00000083,AB,26468819,2210.0,Household Payment,2022-07-22 12:25:53.507116
29532,A00000083,EF,41590857,3940.0,,2022-07-23 16:41:50.507116
29533,A00000084,ST,33353132,1709.0,Leasing Payment,2022-07-24 05:24:16.507116
29534,A00000084,ST,18454540,12452.0,Household Payment,2022-07-22 01:36:47.507116
29535,A00000085,IJ,65366345,3831.0,Household Payment,2022-07-19 05:00:11.507116
29536,A00000085,OP,81823444,1792.0,Leasing Payment,2022-07-24 05:32:29.507116
29537,A00000086,WX,36292475,1002.0,Household Payment,2022-07-18 10:40:02.507116
29538,A00000086,MN,48764252,1160.0,,2022-07-19 17:53:28.507116
29541,A00000088,ST,72993069,2268.0,Household Payment,2022-07-18 14:50:08.507116
29542,A00000090,ST,68375611,2774.0,Household Payment,2022-07-20 00:52:46.507116
29543,A00000090,UV,90134667,2375.0,,2022-07-21 20:22:47.507116
29544,A00000090,MN,89044069,4372.0,Insurance Payment,2022-07-22 05:53:07.507116
29545,A00000090,YZ,2028567,361.0,,2022-07-24 20:51:16.507116
29554,A00000096,CD,62272125,4422.1,Leasing Payment,2022-07-18 01:43:16.507116
29555,A00000096,QR,83610647,908.0,Household Payment,2022-07-23 00:21:57.507116
29556,A00000096,WX,41707503,2140.0,,2022-07-19 16:49:54.507116
29557,A00000096,EF,49409562,46.0,Insurance Payment,2022-07-17 05:17:49.507116
29558,A00000096,EF,66311460,644.0,,2022-07-25 03:18:58.507116
29559,A00000097,ST,69820374,1436.0,Household Payment,2022-07-17 23:40:27.507116
29560,A00000097,CD,33796209,2411.0,,2022-07-15 11:21:11.507116
29561,A00000097,ST,83123987,3.0,Insurance Payment,2022-07-21 17:46:58.507116
29562,A00000097,CD,94469666,15.0,,2022-07-18 15:37:10.507116
29563,A00000097,MN,9693319,8573.0,Loan Payment,2022-07-20 18:11:59.507116
29564,A00000098,CD,94078754,1569.0,Household Payment,2022-07-24 04:13:12.507116
29565,A00000098,WX,95535426,749.0,Household Payment,2022-07-17 12:52:36.507116
29566,A00000099,CD,38411343,4503.0,Household Payment,2022-07-23 05:12:02.507116
29567,A00000099,EF,26847303,4682.0,,2022-07-16 12:27:55.507116
29568,A00000100,UV,6381905,598.0,Household Payment,2022-07-24 02:05:01.507116
29569,A00000100,GH,16341108,7329.0,,2022-07-20 09:33:11.507116
29570,A00000101,KL,10926431,8037.0,Household Payment,2022-07-17 20:58:51.507116
29571,A00000101,GH,26152324,855.0,,2022-07-22 11:29:28.507116
29572,A00000102,EF,24946403,7370.2,Loan Payment,2022-07-23 06:19:05.507116
29573,A00000102,KL,63927906,3373.0,Household Payment,2022-07-25 01:48:55.507116
29574,A00000102,UV,97521966,377.0,,2022-07-22 11:10:12.507116
29575,A00000103,MN,2646291,7370.2,Loan Payment,2022-07-24 15:34:04.507116
29576,A00000104,MN,82782172,578.0,Household Payment,2022-07-21 13:38:56.507116
29577,A00000104,ST,8965999,1464.0,,2022-07-24 05:00:32.507116
29578,A00000105,UV,58251345,7348.0,Loan Payment,2022-07-20 07:56:57.507116
29579,A00000106,WX,46916538,3735.0,Household Payment,2022-07-15 21:59:20.507116
29580,A00000107,IJ,67744958,2015.0,Household Payment,2022-07-21 14:59:52.507116
29581,A00000107,IJ,9999049,1580.0,,2022-07-16 18:40:35.507116
29582,A00000107,QR,80934089,959.0,Insurance Payment,2022-07-18 13:16:31.507116
29583,A00000108,CD,62673318,4803.0,Household Payment,2022-07-23 02:46:51.507116
29584,A00000110,OP,24390584,3050.0,Household Payment,2022-07-19 03:17:58.507116
29585,A00000110,YZ,18149984,98.0,,2022-07-18 12:05:13.507116
29586,A00000110,ST,14772266,4516.0,Loan Payment,2022-07-25 09:59:32.507116
29589,A00000112,AB,41812431,2051.0,Household Payment,2022-07-22 01:52:07.507116
29590,A00000113,GH,11191487,3146.0,Household Payment,2022-07-24 23:56:36.507116
29591,A00000114,QR,78667527,1590.0,Household Payment,2022-07-20 18:26:08.507116
29592,A00000114,MN,90660798,533.0,Household Payment,2022-07-18 16:11:01.507116
29593,A00000115,EF,51975733,5110.0,Household Payment,2022-07-20 02:38:23.507116
29594,A00000116,KL,99229424,5529.0,Household Payment,2022-07-20 20:18:10.507116
29595,A00000116,ST,16828024,927.0,Leasing Payment,2022-07-16 21:09:19.507116
29596,A00000117,CD,59419953,2329.0,Household Payment,2022-07-23 23:21:47.507116
29597,A00000118,IJ,51605445,2449.0,Household Payment,2022-07-24 10:33:23.507116
29598,A00000119,ST,21662587,8252.0,Household Payment,2022-07-25 07:57:17.507116
29599,A00000120,YZ,74934506,1899.0,Leasing Payment,2022-07-25 04:40:58.507116
29600,A00000120,ST,36501592,3965.0,Household Payment,2022-07-23 09:48:48.507116
29601,A00000121,YZ,81156724,794.0,Household Payment,2022-07-23 03:39:31.507116
29602,A00000121,UV,93935125,929.0,,2022-07-20 00:22:03.507116
29603,A00000121,MN,91729092,393.0,Insurance Payment,2022-07-22 23:26:51.507116
29604,A00000123,KL,97764080,3016.0,Household Payment,2022-07-24 11:03:22.507116
29605,A00000124,IJ,11366123,447.0,Household Payment,2022-07-21 02:12:56.507116
29606,A00000124,OP,51247948,575.0,,2022-07-24 08:44:56.507116
29607,A00000124,OP,34663748,971.0,Insurance Payment,2022-07-23 22:23:22.507116
29608,A00000125,IJ,14166999,4422.1,Leasing Payment,2022-07-21 07:36:21.507116
29609,A00000126,WX,62923598,7384.0,Household Payment,2022-07-21 08:17:46.507116
29610,A00000127,YZ,11707830,2242.0,Household Payment,2022-07-19 01:57:42.507116
29611,A00000129,IJ,69084489,3417.0,Household Payment,2022-07-16 23:05:47.507116
29612,A00000130,IJ,2152455,3969.0,Household Payment,2022-07-17 01:49:26.507116
29613,A00000131,UV,29374742,6904.0,Household Payment,2022-07-19 03:36:52.507116
29614,A00000132,WX,80542558,7370.2,Loan Payment,2022-07-22 00:23:04.507116
29615,A00000133,OP,90329002,3094.0,Leasing Payment,2022-07-18 00:40:09.507116
29616,A00000133,EF,45379865,4943.0,Household Payment,2022-07-18 14:09:24.507116
29617,A00000133,CD,30067122,5123.0,,2022-07-24 03:55:06.507116
29618,A00000136,MN,78733890,2932.0,Household Payment,2022-07-23 16:17:05.507116
29619,A00000137,GH,71138578,3464.0,Household Payment,2022-07-20 06:18:28.507116
29620,A00000137,UV,34738314,787.0,,2022-07-25 05:55:16.507116
29621,A00000141,KL,30588215,3016.5,Leasing Payment,2022-07-21 00:36:58.507116
29622,A00000141,KL,65986662,3462.0,Household Payment,2022-07-20 19:52:33.507116
29623,A00000141,WX,71174192,1791.0,,2022-07-19 23:46:17.507116
29624,A00000141,GH,86448645,6716.0,Insurance Payment,2022-07-25 04:05:29.507116
29625,A00000142,YZ,23734498,1845.0,Household Payment,2022-07-20 22:27:10.507116
29626,A00000143,YZ,81564402,2272.0,Household Payment,2022-07-16 02:41:26.507116
29627,A00000145,GH,81546359,4815.0,Household Payment,2022-07-25 18:54:12.507116
29628,A00000146,AB,76565843,3823.0,Household Payment,2022-07-20 15:24:18.507116
29631,A00000148,KL,29826498,487.0,Household Payment,2022-07-25 10:35:13.507116
29632,A00000148,GH,99004148,89.0,,2022-07-15 23:13:02.507116
29633,A00000148,QR,85938459,1736.0,Insurance Payment,2022-07-17 06:04:33.507116
29634,A00000151,QR,2754378,411.0,Household Payment,2022-07-25 13:03:32.507116
29635,A00000151,KL,77260404,2668.0,,2022-07-15 12:20:28.507116
29636,A00000152,OP,21928644,426.0,Household Payment,2022-07-15 01:14:19.507116
29637,A00000152,OP,16610890,2993.0,,2022-07-15 19:12:22.507116
29638,A00000153,UV,6886673,4544.0,Household Payment,2022-07-19 06:46:18.507116
29639,A00000154,MN,1314569,3891.0,Household Payment,2022-07-15 21:13:08.507116
29640,A00000155,KL,13971645,2988.0,Household Payment,2022-07-22 22:22:49.507116
29641,A00000156,QR,93965810,2030.0,Household Payment,2022-07-21 09:55:35.507116
29642,A00000157,AB,14697784,3991.0,Household Payment,2022-07-18 05:21:52.507116
29643,A00000158,ST,61129736,3420.0,Household Payment,2022-07-25 13:17:08.507116
29644,A00000159,GH,1882386,8694.0,Household Payment,2022-07-20 22:32:08.507116
29645,A00000160,QR,52787989,2374.0,Household Payment,2022-07-16 22:43:42.507116
29646,A00000160,ST,8854127,5552.0,,2022-07-16 07:39:12.507116
29647,A00000161,GH,17877823,1389.0,Household Payment,2022-07-25 23:49:56.507116
29648,A00000161,WX,62378322,892.0,Household Payment,2022-07-20 06:22:14.507116
29649,A00000162,GH,1325488,3458.0,Household Payment,2022-07-20 18:29:23.507116
29650,A00000163,UV,86180990,3116.0,Household Payment,2022-07-19 12:56:08.507116
29651,A00000163,IJ,8512616,612.0,Household Payment,2022-07-16 19:11:04.507116
29652,A00000165,OP,71082353,1788.0,Household Payment,2022-07-15 21:50:12.507116
29653,A00000166,QR,26919090,3044.0,Household Payment,2022-07-19 13:57:07.507116
29654,A00000168,WX,47454333,2013.0,Household Payment,2022-07-19 01:36:08.507116
29655,A00000169,IJ,71273207,4975.0,Household Payment,2022-07-15 02:40:52.507116
29656,A00000169,KL,15956706,696.0,Leasing Payment,2022-07-25 00:51:49.507116
29657,A00000171,UV,5356938,3486.0,Household Payment,2022-07-19 12:20:43.507116
29658,A00000172,OP,11598539,4221.0,Household Payment,2022-07-25 20:56:35.507116
29659,A00000173,KL,95605074,6256.0,Household Payment,2022-07-17 05:06:31.507116
29660,A00000173,KL,26238835,1428.0,,2022-07-23 20:21:48.507116
29661,A00000173,CD,85405385,735.0,Insurance Payment,2022-07-23 06:28:17.507116
29662,A00000173,CD,50065535,189.0,,2022-07-19 12:09:05.507116
29663,A00000173,UV,38819456,8734.0,Loan Payment,2022-07-25 23:55:29.507116
29664,A00000174,QR,73784321,2139.0,Household Payment,2022-07-20 22:33:43.507116
29667,A00000176,GH,53236597,2288.3,Loan Payment,2022-07-17 02:21:27.507116
29668,A00000176,AB,55640232,4564.0,Household Payment,2022-07-16 15:03:30.507116
29669,A00000176,OP,90734010,36.0,,2022-07-21 11:16:53.507116
29670,A00000176,QR,11736327,97.0,Insurance Payment,2022-07-25 08:51:28.507116
29671,A00000178,OP,16301811,1482.0,Household Payment,2022-07-23 03:05:49.507116
29672,A00000178,ST,1946038,505.0,,2022-07-18 09:44:44.507116
29673,A00000179,UV,16450244,7615.0,Household Payment,2022-07-23 16:14:11.507116
29674,A00000179,IJ,47684144,1066.0,,2022-07-24 09:42:45.507116
29675,A00000179,AB,11941713,378.0,Insurance Payment,2022-07-23 14:15:47.507116
29676,A00000179,OP,39081686,4608.0,,2022-07-18 16:28:56.507116
29677,A00000181,KL,66975450,6780.0,Household Payment,2022-07-17 06:18:07.507116
29678,A00000183,AB,5552345,5202.0,Household Payment,2022-07-17 03:13:04.507116
29679,A00000183,GH,85986530,752.0,,2022-07-21 21:04:31.507116
29680,A00000184,IJ,65986150,1623.0,Leasing Payment,2022-07-18 19:54:11.507116
29681,A00000185,IJ,14592427,6526.0,Household Payment,2022-07-23 11:21:41.507116
29682,A00000186,GH,83964973,6862.0,Household Payment,2022-07-23 07:53:19.507116
29683,A00000187,UV,39898049,2798.0,Household Payment,2022-07-23 16:47:56.507116
29684,A00000188,AB,26629168,7426.0,Household Payment,2022-07-22 00:36:47.507116
29685,A00000189,GH,54808670,4244.0,Household Payment,2022-07-18 22:44:37.507116
29686,A00000189,OP,28932172,750.0,,2022-07-21 19:55:10.507116
29687,A00000189,MN,76972424,360.0,Insurance Payment,2022-07-19 09:19:28.507116
29688,A00000190,YZ,24279922,4519.0,Household Payment,2022-07-25 20:40:47.507116
29689,A00000190,WX,3125066,3233.0,,2022-07-25 15:29:10.507116
29690,A00000190,WX,5304331,42.0,Insurance Payment,2022-07-16 17:03:19.507116
29691,A00000190,YZ,50605297,1316.0,,2022-07-17 01:49:19.507116
29692,A00000191,YZ,89219265,4420.9,Leasing Payment,2022-07-15 09:10:27.507116
29693,A00000192,IJ,70552640,3583.0,Household Payment,2022-07-23 13:15:10.507116
29694,A00000193,QR,21547550,7110.0,Household Payment,2022-07-17 19:01:47.507116
29695,A00000194,CD,39405787,2648.0,Household Payment,2022-07-25 08:26:49.507116
29696,A00000195,AB,37868559,6260.0,Household Payment,2022-07-20 20:44:07.507116
29697,A00000196,MN,84787642,1270.0,Household Payment,2022-07-25 04:12:21.507116
29698,A00000196,AB,90261184,4417.0,,2022-07-22 20:00:01.507116
29699,A00000196,KL,30200135,2554.0,Insurance Payment,2022-07-23 19:52:12.507116
29700,A00000196,IJ,21173686,385.0,,2022-07-23 14:25:58.507116
29701,A00000197,EF,67286312,9454.0,Household Payment,2022-07-23 05:43:44.507116
29702,A00000198,MN,67775189,700.0,Household Payment,2022-07-19 11:29:53.507116
29703,A00000198,QR,64557379,2166.0,Household Payment,2022-07-21 18:57:45.507116
29704,A00000199,CD,15875643,1984.0,Household Payment,2022-07-20 20:04:01.507116
29705,A00000201,OP,34061867,9584.0,Household Payment,2022-07-17 19:44:33.507116
29711,A00000204,UV,59721839,1950.0,Household Payment,2022-07-18 06:37:34.507116
29712,A00000205,AB,99149345,4297.0,Household Payment,2022-07-19 10:02:59.507116
29713,A00000206,KL,75771987,2902.0,Household Payment,2022-07-23 16:39:43.507116
29714,A00000207,KL,71656483,403.0,Household Payment,2022-07-20 15:39:41.507116
29715,A00000207,GH,4786676,10.0,,2022-07-21 23:12:07.507116
29716,A00000207,AB,83722591,2726.0,Insurance Payment,2022-07-25 21:10:12.507116
29717,A00000208,AB,9118587,4148.0,Household Payment,2022-07-24 23:56:21.507116
29718,A00000208,CD,77937751,1767.0,,2022-07-24 13:09:20.507116
29719,A00000208,UV,98481541,986.0,Insurance Payment,2022-07-15 21:40:33.507116
29720,A00000208,OP,28241002,545.0,,2022-07-24 01:27:19.507116
29721,A00000209,QR,17469549,483.0,Household Payment,2022-07-25 12:54:48.507116
29722,A00000209,EF,52778792,41.0,,2022-07-23 21:18:57.507116
29723,A00000209,KL,1601225,1796.0,Insurance Payment,2022-07-19 04:11:10.507116
29724,A00000210,IJ,24753552,7534.0,Household Payment,2022-07-21 15:25:55.507116
29725,A00000211,IJ,2884138,2394.0,Leasing Payment,2022-07-20 20:42:01.507116
29726,A00000212,EF,58462047,13841.0,Household Payment,2022-07-20 11:54:04.507116
29727,A00000213,EF,4553950,5625.0,Household Payment,2022-07-25 06:44:17.507116
29728,A00000214,EF,26426023,2097.0,Household Payment,2022-07-19 04:46:07.507116
29729,A00000215,MN,65896379,2121.0,Household Payment,2022-07-22 22:11:18.507116
29730,A00000216,KL,85333066,1486.0,Household Payment,2022-07-24 03:14:29.507116
29731,A00000216,GH,38205874,1513.0,Household Payment,2022-07-25 13:20:53.507116
29732,A00000217,CD,23454666,3459.0,Household Payment,2022-07-19 08:06:02.507116
29733,A00000217,YZ,55710929,653.0,Leasing Payment,2022-07-16 15:28:56.507116
29734,A00000218,IJ,10956299,3182.0,Leasing Payment,2022-07-16 00:48:34.507116
29735,A00000219,GH,77167427,2336.0,Household Payment,2022-07-24 15:29:48.507116
29736,A00000219,OP,33257001,2988.0,,2022-07-24 17:19:57.507116
29737,A00000220,QR,26923066,3095.0,Household Payment,2022-07-25 23:02:14.507116
29738,A00000221,CD,98228793,7896.0,Household Payment,2022-07-17 10:34:55.507116
29739,A00000222,WX,52384513,3440.9,Leasing Payment,2022-07-22 20:51:16.507116
29740,A00000224,EF,63218277,3503.0,Household Payment,2022-07-23 14:36:42.507116
29741,A00000225,MN,74407583,3383.0,Household Payment,2022-07-18 21:12:06.507116
29742,A00000225,KL,93545496,2.0,,2022-07-25 07:06:23.507116
29743,A00000226,UV,29971635,8928.0,Household Payment,2022-07-17 02:38:10.507116
29744,A00000226,GH,39824432,9112.0,Loan Payment,2022-07-25 10:14:01.507116
29745,A00000227,GH,28972292,9381.0,Household Payment,2022-07-15 01:13:51.507116
29746,A00000228,QR,78199761,1946.0,Household Payment,2022-07-18 06:19:37.507116
29747,A00000228,EF,26569271,2158.0,,2022-07-16 14:11:24.507116
29748,A00000229,ST,55160808,2505.0,Household Payment,2022-07-16 10:35:29.507116
29749,A00000230,ST,66906124,5615.0,Household Payment,2022-07-18 21:39:38.507116
29750,A00000230,AB,95935326,1527.0,,2022-07-24 14:30:28.507116
29751,A00000230,KL,3922403,1058.0,Insurance Payment,2022-07-19 13:47:15.507116
29752,A00000231,WX,51732343,2073.0,Household Payment,2022-07-17 23:46:05.507116
29753,A00000232,KL,62672704,3643.0,Household Payment,2022-07-22 07:42:23.507116
29755,A00000234,MN,20655334,2809.0,Household Payment,2022-07-25 18:33:23.507116
29756,A00000235,MN,79934978,895.0,Household Payment,2022-07-17 21:29:38.507116
29757,A00000235,KL,52539473,1321.0,,2022-07-25 22:36:49.507116
29758,A00000237,AB,13233763,152.0,Household Payment,2022-07-15 12:14:16.507116
29759,A00000237,AB,58324587,1788.0,,2022-07-17 21:30:16.507116
29760,A00000238,IJ,39059901,2234.0,Household Payment,2022-07-17 03:55:55.507116
29761,A00000239,CD,96977406,1042.0,Household Payment,2022-07-23 14:25:48.507116
29762,A00000239,MN,30218410,5995.0,,2022-07-22 00:29:08.507116
29763,A00000239,IJ,47741246,152.0,Insurance Payment,2022-07-15 15:08:44.507116
29764,A00000240,WX,50178039,9621.0,Household Payment,2022-07-25 22:32:20.507116
29765,A00000240,OP,22710114,1050.0,Leasing Payment,2022-07-23 02:56:56.507116
29766,A00000241,QR,28285497,1344.0,Household Payment,2022-07-20 15:30:30.507116
29767,A00000241,MN,27381342,632.0,,2022-07-19 17:14:03.507116
29768,A00000241,EF,14364838,610.0,Insurance Payment,2022-07-20 03:21:01.507116
29769,A00000242,WX,23104387,1062.0,Household Payment,2022-07-17 22:51:15.507116
29770,A00000242,WX,62032568,2977.0,,2022-07-21 02:18:36.507116
29771,A00000243,KL,55282419,1041.0,Leasing Payment,2022-07-24 06:00:44.507116
29772,A00000243,GH,73269855,3067.0,Household Payment,2022-07-15 12:28:10.507116
